num,energy,dist,dist,dist
87,-75.730947,1,1.9141218,0.927742564
88,-75.63625,1,3.094064045,2.97640997
89,-75.647798,1,2.90922903,2.533422103
90,-75.752989,1,2.059851164,2.064284094
91,-75.739663,1,1.649236721,0.668287184
92,-75.848329,1,1.529639018,1.554873475
93,-75.701049,1,2.430427403,2.460225876
94,-75.671892,1,2.640319267,2.273480995
95,-75.72583,1,2.062434701,1.340891083
96,-75.680862,1,2.390677764,1.472334938
97,-75.70776,1,2.258693004,1.689021636
98,9999,1,0.382986868,1.041453283
99,-75.69426,1,2.241178519,1.288320284
100,-75.66375,1,2.769405301,2.752101692
101,-75.647698,1,2.948615087,2.88603689
102,-75.654269,1,2.849442183,2.591917582
103,-75.756054,1,2.059601187,2.251077309
104,-75.249629,1,3.021744147,2.239799922
105,-75.694772,1,1.537413744,0.538805177
106,9999,1,0.634642367,0.426327262
107,-75.938725,1,1.100604026,1.307377995
108,-75.756648,1,1.767156359,0.926905387
109,9999,1,0.465370769,0.536833264
110,-75.229483,1,3.647982628,2.91133084
111,-75.690602,1,2.477697292,2.195536807
112,-75.589513,1,4.041858431,3.387592298
113,-75.639123,1,3.057186252,2.971226982
114,-75.648571,1,2.94530725,3.056775883
115,-75.866401,1,0.856918455,0.885659775
116,-75.639217,1,2.896673597,2.01990691
117,-75.890373,1,1.034977667,0.952694479
118,-75.829553,1,0.998861742,0.71722157
119,-75.629134,1,2.929016256,1.936920295
120,-75.657676,1,2.701454474,1.933831501
121,-75.651395,1,2.91031487,2.962503779
122,-75.758181,1,1.730301346,0.863963396
123,9999,1,0.994578457,0.258531056
124,-75.75578,1,1.913055773,1.451835524
125,-75.91636,1,1.22641451,1.388032619
126,-75.832645,1,1.574149445,1.497728439
127,-75.676876,1,0.667660096,0.826065375
128,-75.784505,1,1.678894981,1.164099805
129,-75.85375,1,1.487163849,1.480936972
130,-75.81352,1,1.462250816,0.98756339
131,-75.698441,1,2.23542153,1.332701548
132,-75.612393,1,3.440253442,2.924364503
133,-75.621602,1,3.29405838,2.943680453
134,-75.848713,1,1.549254253,1.636295432
135,-75.676607,1,2.646714535,2.764198225
136,-75.62678,1,3.003854198,2.02713888
137,-75.635622,1,2.983213449,2.199890107
138,-75.701873,1,1.229120172,0.507275464
139,-75.637703,1,3.02403586,2.544059135
140,-75.649014,1,2.861618566,2.314246922
