num,energy,xmod,ymod
65,-0.996923,-0.352905,-0.29597
66,-0.959443,-0.703977,-1.536734
67,-0.861811,0.325091,-1.107696
68,-0.991809,-1.055357,-0.947685
69,-1.121569,-0.63703,0.13882
70,-0.885317,-1.772975,-1.247724
71,-0.834921,1.318265,-2.386238
72,-0.8479,-2.287505,-1.211627
73,-1.071866,-0.104916,0.39549
74,-1.093057,-0.772915,0.59145
75,-0.999373,0.058101,0.974338
76,-1.058574,-0.549195,-1.049565
77,-1.042962,1.020987,0.678273
78,-1.099716,0.177106,0.448276
79,-0.894289,-1.651726,-1.005961
80,-0.844795,0.989716,-1.745789
81,-0.87396,-1.441368,1.323176
82,-0.898617,0.136095,-0.909121
83,-1.108618,-0.795568,0.455546
84,-0.892133,1.743076,0.022785
85,-1.041033,0.440413,-0.371094
86,-0.885049,1.465906,0.302843
87,-0.800564,-2.009781,2.054662
88,-0.828146,2.390047,-1.296068
89,-0.820744,-0.993427,1.806523
90,-0.815648,0.574242,1.965024
91,-0.894727,1.718815,-0.431995
92,-0.825428,-0.547997,-2.696601
93,-0.757721,2.715278,2.606981
94,-0.859713,-0.157404,0.928388
95,-1.111937,0.329186,-0.805018
96,-1.126748,0.456989,-0.37586
97,-0.865388,-1.146745,2.126606
98,9999,-0.223089,-0.213697
99,-0.979264,0.671381,-1.429419
100,-1.094438,0.766954,-0.333937
101,-0.943019,1.419285,-0.355967
102,-0.972743,1.622905,0.193127
103,-0.885826,1.963435,1.035371
104,-1.039316,0.656679,-1.100825
105,-0.864704,-1.250747,-0.377009
106,-0.921803,0.757855,1.584347
107,-0.781475,2.594667,-0.928242
108,-0.943884,-0.569682,-0.280103
109,-0.84772,0.637586,2.225725
110,-0.968817,0.050877,-1.632428
111,-0.95554,0.320214,1.42632
112,-0.812983,-2.595466,-0.140055
113,-0.974936,0.473439,-1.232758
114,-0.963491,-0.900658,-1.425213
115,-0.951439,-1.392575,-0.698545
116,-0.820045,2.382588,1.713693
117,-1.096317,0.940361,0.310666
118,-0.800694,-1.153037,-2.406138
119,-0.795039,1.518864,1.865698
120,-0.825561,0.82958,-1.601514
121,-0.87225,0.162227,-0.30645
122,-1.081101,0.281255,-0.92904
123,-1.101747,-0.277624,0.433353
124,-1.071779,-0.027894,-0.149392
125,-0.845319,-2.44081,-0.954749
126,-1.102334,0.393244,0.869151
127,-0.874612,1.954294,1.239509
128,-0.934586,1.16323,1.295238
129,-0.783486,1.446669,2.145983
130,-1.039412,-0.98108,0.345533
131,-0.784569,2.49017,-2.481747
132,-0.789493,-2.209921,2.193251
133,-0.861324,-0.051102,1.855032
134,-1.033215,-0.10744,-1.276527
135,-0.872258,2.084852,1.079658
136,-0.944773,-1.709758,-0.331109
137,-1.111167,0.899112,0.033796
138,-1.039691,-0.481883,1.058988
139,-0.89941,-1.525661,0.206404
140,-0.949946,0.682747,-0.327873
141,-0.957446,0.493573,0.796454
142,-0.838305,-1.295129,-0.688884
143,-1.002891,-0.766569,1.251418
144,-0.810326,-1.55934,0.635045
145,-0.844643,0.432377,2.503165
146,-0.831084,0.822865,-2.477608
147,-1.033616,-0.026426,0.207007
148,-0.954495,-0.454317,1.063688
149,-0.924542,-0.340299,1.202993
150,-0.931276,1.087645,1.541519
151,-0.948126,-1.046673,1.402644
152,-1.032089,-0.669867,0.65258
153,-0.908947,-1.525526,0.902846
154,-1.091449,1.015656,0.008316
155,-0.805139,-0.191949,-1.824003
156,-0.855244,-0.543988,1.896706
157,-0.909993,1.679714,1.162567
158,-0.957407,-1.350179,0.672695
159,-0.912522,-0.660106,1.853062
160,-0.85404,0.307426,1.162759
161,9999,0.046917,0.236393
162,-0.854397,-2.149518,-1.267098
163,-0.872351,1.995375,1.132362
164,-0.85552,0.651738,1.085948
165,-0.941363,-0.238298,0.662464
166,-0.935649,-1.744612,0.596663
167,-0.972278,-0.681704,0.056341
168,-0.809186,-2.263007,-0.203936
169,-0.861671,0.536705,-1.402948
170,-0.997896,0.234652,-1.478702
171,-0.781374,-1.606796,-2.686458
172,-0.886403,-2.141889,0.502463
173,-1.089449,0.324549,0.167992
174,-1.07779,0.284304,0.922842
175,-0.932483,-1.482954,0.86582
176,-0.984789,-1.020503,1.182763
177,-0.932279,0.390879,0.139937
178,-0.944404,-1.078508,-0.185453
179,-0.808512,1.790237,2.530252
180,-0.926822,-1.442004,0.270454
181,-0.85958,-0.813901,0.72335
182,-0.853642,0.683604,-1.803512
183,-0.860762,0.801202,-2.126177
184,-1.056541,1.071916,-0.452733
185,-0.895038,1.205621,0.399581
186,-0.897579,0.491692,-1.071349
187,-0.802443,1.214676,-1.044976
188,-0.89819,-2.010642,-0.716871
189,-1.091153,-0.870921,-0.401464
190,-0.960546,0.328658,1.627341
191,-0.907919,-0.433594,1.57291
192,-0.76889,2.800315,2.499855
193,-0.865221,-0.814862,0.346231
194,-0.973796,0.026966,-1.588444
195,-1.106212,-0.438057,0.592378
196,-0.930097,1.480222,-0.76561
197,-0.821782,-0.730228,2.815261
198,-0.826951,0.722719,-0.983039
199,-0.826442,-2.249526,-1.728536
200,-0.829145,-1.076361,-1.792931
201,-0.973795,-1.145576,-1.162903
202,-0.987256,1.297427,0.846155
203,-0.93558,0.382195,-0.675844
204,-0.853478,1.798774,0.047915
205,-1.065986,-0.415341,0.097752
206,-0.985784,-1.512995,0.3006
207,-0.985726,-1.45894,-0.468638
208,-0.879421,-1.927593,1.074931
209,9999,-0.286002,-0.177049
210,-0.859576,0.78814,-1.532534
211,-0.871461,0.27842,-2.343689
212,-0.857774,-0.623847,-2.296069
213,-0.853492,0.344016,0.16716
214,-1.096312,0.859067,-0.347889
215,-0.814955,-1.058495,-1.631243
216,-1.126633,-0.160269,0.50202
217,-0.829876,1.019264,-2.582732
218,9999,0.188194,-0.17935
219,-0.944254,0.223898,1.632538
220,-0.880218,-0.187511,1.387273
221,-0.945355,0.388126,1.394534
222,-1.084354,0.608563,-0.77367
223,-1.033463,0.494486,1.171884
224,-0.870888,-0.252405,1.089739
225,-0.931963,-1.176345,1.479019
226,-0.831191,1.441446,2.382799
227,-1.092734,0.327987,0.908272
228,-0.789519,-2.433185,2.406906
229,-0.935464,0.697047,-0.693516
230,-0.910807,1.311595,0.125456
231,-1.007744,-0.298739,-1.412346
232,-0.814915,0.641864,2.2798
233,-0.845524,-0.774121,-2.444301
234,-0.861236,-0.996806,1.497941
235,-1.125235,0.492357,-0.409027
236,-0.974828,-0.399238,0.52126
237,-1.122242,-0.230853,0.731154
238,-1.026783,0.966204,0.899058
239,-0.982775,-0.551619,-1.416132
240,-0.84014,-2.595783,-0.509263
241,-0.966503,0.058972,1.140722
242,-1.060146,-1.012946,0.444969
243,-0.832722,-1.584567,-0.677361
244,-0.885414,-0.255012,2.198869
245,-0.935803,0.150697,0.378484
246,-0.917628,-1.16227,0.595947
247,-0.919354,-0.523428,-1.869892
248,-1.029461,0.340192,1.252342
249,-0.997976,1.255782,-0.322906
250,-0.788385,0.91816,2.135945
251,-0.839706,0.10035,-1.442112
252,-0.819527,-2.220234,1.646966
253,-0.852311,1.38138,-1.941051
254,-0.838057,1.735196,-1.17762
255,-1.024869,0.211504,1.328321
256,-0.844218,-0.043974,-1.832054
257,-0.905082,0.572471,0.549858
258,-0.845965,2.429092,-0.666407
259,-1.1151,0.559414,-0.248167
260,-0.996158,-0.038724,0.949553
261,-1.007618,-0.659564,0.720858
262,-0.910753,0.725926,-1.013951
263,-0.943822,-0.7055,-0.002531
264,-0.969127,1.266326,-0.914918
265,-0.834136,1.859672,-1.685919
266,-0.858526,-2.412584,0.445294
267,-0.962636,-0.51126,1.619204
268,-0.857356,0.212085,0.564539
269,-0.848539,-1.428533,-1.17202
270,-0.803536,1.189199,2.045569
271,-1.019227,1.208919,0.322731
272,-0.847845,1.848763,1.464504
273,-1.087474,-0.557343,-0.449105
274,-0.898791,2.125533,0.005819
275,-1.091,-0.142952,-0.793673
276,-1.126421,-0.325616,-0.26811
277,-1.115976,-0.619559,-0.597295
278,-0.815542,1.488223,-2.293116
279,-1.112959,0.556774,-0.146321
280,-0.80076,-1.971164,0.025617
281,-1.00393,-0.48675,0.41329
282,-0.913702,0.354206,-1.125494
283,-0.93721,-0.561255,1.662042
284,-0.872992,1.398236,1.460489
285,-1.014577,-0.179157,0.189182
286,-0.884391,2.196206,0.105815
287,-0.892528,0.112262,-0.594132
288,-0.858373,-1.348103,2.071684
289,-0.960712,0.597673,-1.328766
290,-0.987544,0.147523,0.093053
291,-1.062364,0.656081,-0.463701
292,-0.850494,-0.775811,0.525823
293,-0.967258,1.209193,0.927686
294,-0.801057,1.595816,-2.213928
295,-0.802019,-1.032523,2.721908
296,-0.926732,-0.529588,-1.089664
297,-0.81807,-0.170793,-1.672372
298,-1.119706,0.684337,-0.333396
299,-1.079152,-0.411226,-0.786933
300,-1.039636,-0.619113,-1.117982
301,-0.805054,-0.028592,-1.224908
302,-1.124866,0.388181,0.228278
303,-0.843766,1.545951,-1.647081
304,-0.83314,1.023282,-2.058251
305,-0.846957,1.83554,-1.82864
306,-0.935852,-0.079744,-0.851131
307,-0.807323,2.18334,-1.989938
308,-0.950162,-1.337472,-0.614816
309,-0.964759,-0.450416,1.598883
310,-1.069463,-0.605433,-0.923359
311,-0.825964,-0.777193,-2.252333
312,-1.126825,-0.695018,-0.068916
313,-0.973336,0.911366,1.28784
314,-0.957238,1.245143,1.134855
315,-0.853108,0.605866,1.544226
