num,energy,x,y,z,x,y,z
298,-1.119706,0.668581,1.968299,1.545951,1.352918,1.634903,1.190417
884,-1.118767,1.753992,1.227616,2.427903,0.955356,1.167961,2.148782
339,-1.118285,2.480732,2.665239,0.805192,2.205634,2.611533,0.000558
383,-1.117853,2.327439,2.054788,1.635526,2.292182,2.057489,2.490316
825,-1.117391,2.623733,1.221246,1.264049,2.985002,1.040936,0.781744
788,-1.117349,0.62452,1.749996,0.692845,0.44173,2.060046,1.208455
488,-1.1173,1.16902,0.506656,1.153934,0.521262,0.050463,0.819769
642,-1.116813,0.698689,2.847984,2.479871,0.563322,2.425053,2.03822
322,-1.116685,1.603421,2.619256,2.548307,2.195931,2.406585,1.955661
813,-1.116291,1.664326,2.282178,2.057493,1.522913,2.613874,2.566684
277,-1.115976,2.494065,2.234999,0.354206,1.874506,1.637704,0.227071
598,-1.115761,0.55374,0.803022,1.887409,0.890278,0.798028,2.691323
372,-1.115182,0.247223,1.679428,1.455401,0.434713,0.92175,1.058245
259,-1.1151,1.525669,2.688009,1.266326,2.085083,2.439842,1.357918
953,-1.114847,1.212422,1.850833,0.728457,0.684894,1.83355,1.430319
766,-1.114692,1.471864,1.145378,2.553979,0.922781,0.470419,2.680829
944,-1.113845,2.661355,1.719199,0.105051,1.913036,2.191836,0.123843
764,-1.113637,1.035153,0.671639,2.157184,0.592842,1.3615,2.495933
279,-1.112959,0.903715,1.336961,1.398236,1.460489,1.19064,1.600976
22,-1.112077,0.66912,1.559823,0.86731,1.131623,1.166573,0.869391
95,-1.111937,2.336877,1.356657,0.766954,2.666063,0.551639,0.542071
14,-1.111521,1.384943,2.664642,1.46428,1.579391,1.871306,1.844783
137,-1.111167,1.412004,0.697213,1.704871,2.311116,0.731009,1.62325
531,-1.110288,1.019142,0.881061,1.185415,1.452164,0.328911,0.60729
571,-1.110143,2.425969,2.331108,2.824628,2.142614,1.802882,2.85833
633,-1.109897,1.167352,0.744246,0.471127,0.849283,1.322212,1.100407
694,-1.10983,0.201894,0.936905,0.94542,0.911373,0.483637,1.296377
83,-1.108618,2.499501,1.770858,2.390047,1.703933,2.226404,2.314833
848,-1.108454,0.658354,1.302102,2.317142,1.095961,1.54363,2.639755
926,-1.108432,0.616952,2.018086,1.105567,0.49822,2.53997,1.855101
900,-1.108242,1.909422,1.76276,1.070823,2.19933,1.824104,1.944113
676,-1.108177,1.645737,1.575946,0.193022,1.121645,1.475645,0.454079
942,-1.107598,1.857357,1.540153,2.329616,1.244511,1.155405,2.90776
195,-1.106212,1.645126,0.524803,1.923639,1.207069,1.117181,1.348423
616,-1.105941,1.597032,0.365681,2.555635,2.481914,0.658452,2.466039
637,-1.105501,1.798671,2.550992,2.864633,2.577069,2.558348,2.339481
666,-1.105089,0.036531,1.525833,0.693089,0.686145,1.007246,0.250977
31,-1.104459,0.507899,1.645072,1.318676,0.860208,2.05511,1.100002
636,-1.104409,1.754535,0.855422,1.601575,1.090154,1.515784,1.472872
440,-1.104286,1.1306,2.049154,2.495542,1.355113,2.672965,1.820356
126,-1.102334,0.12501,1.456157,2.49017,0.518254,2.325308,2.574826
123,-1.101747,1.572862,1.872605,1.16323,1.295238,2.305958,1.421772
355,-1.101484,1.968623,1.417427,0.675171,2.514629,0.652974,0.885303
840,-1.101115,2.409811,1.824816,1.089889,2.873644,2.107383,1.276663
634,-1.100682,1.533495,2.476804,2.592618,1.70142,1.525282,2.548455
