num,energy,dist,dist
247,-75.801173,1.814833129,2.062433826
354,-75.800586,1.423915503,0.812103047
520,-75.800414,1.377242868,0.766604147
575,-75.800288,1.723360627,1.545854408
718,-75.798785,1.522468783,0.949249806
742,-75.798595,1.421659975,0.796390033
61,-75.798584,1.18606292,0.664256915
538,-75.797865,0.694873876,1.064753353
259,-75.796926,1.646577551,1.25272568
609,-75.796739,1.649239933,1.257995372
818,-75.795786,1.737372591,1.524796879
287,-75.795722,0.903359657,0.66153962
775,-75.795609,0.677891145,1.16912121
30,-75.795464,1.843204591,2.077429942
490,-75.794782,1.453172624,0.80406012
745,-75.794339,1.849365323,2.088856169
366,-75.794042,1.760234763,1.578832613
578,-75.793984,1.679997926,1.311786199
687,-75.793973,1.795847052,1.72044315
653,-75.79353,1.829031825,1.878699927
975,-75.793461,1.479622603,0.82539024
234,-75.793383,1.844198008,1.979938457
898,-75.793098,1.449840757,0.789189598
183,-75.792832,1.794447824,1.692131494
182,-75.792456,1.843090268,1.937895182
73,-75.791961,1.687629329,1.305869347
331,-75.791798,0.851907419,0.686245036
836,-75.789869,1.390102843,0.724338259
889,-75.789351,1.866878612,2.010178537
958,-75.787544,1.72885701,1.369965898
178,-75.787153,1.359327538,0.696019652
8,-75.786404,1.525657038,0.827258967
884,-75.786346,1.81654244,1.660969125
171,-75.785883,1.502824537,0.795475699
128,-75.784505,1.678894981,1.164099805
809,-75.784323,1.174440192,0.626810789
511,-75.784159,1.802296826,1.566993251
211,-75.782915,1.718273723,1.263484305
285,-75.782568,1.8708238,1.82667011
871,-75.782154,1.769917412,1.420441356
376,-75.781633,1.876891531,1.835126104
981,-75.781437,1.651522521,1.028618801
647,-75.780275,1.737890178,1.28409979
569,-75.78025,1.344666005,0.66614763
611,-75.780057,1.858074468,1.711542208
429,-75.779691,0.791202158,0.729514122
682,-75.77946,1.681945227,1.088202989
867,-75.778622,1.516134253,0.760580746
848,-75.778356,1.902925227,1.891632739
739,-75.777919,1.7208324,1.187978177
749,-75.777262,1.703939756,1.120317229
641,-75.774249,1.783376315,1.334070118
480,-75.774171,1.800345542,1.390684749
51,-75.772986,1.199030258,0.607649209
604,-75.772196,1.617334006,0.82673048
968,-75.771181,1.697390692,0.986181099
68,-75.770219,1.774634543,1.231275664
853,-75.769875,1.906469654,1.708094418
199,-75.769854,1.633079453,0.827288643
261,-75.76933,1.768528159,1.192622258
638,-75.768974,1.777134719,1.216267985
605,-75.768727,1.684373669,0.910177266
918,-75.767994,1.789481768,1.241230437
897,-75.767864,1.724110726,1.007190049
913,-75.766524,1.753961663,1.082796156
236,-75.766151,1.829359805,1.348033121
844,-75.765416,0.781981403,0.712779709
282,-75.764948,0.739339888,0.797754016
409,-75.764781,1.847703411,1.387805424
911,-75.764774,1.611573739,0.76115039
710,-75.764492,1.77551563,1.11844345
686,-75.763123,1.861928252,1.407654366
31,-75.763002,1.710370476,0.886580603
427,-75.762602,1.986799929,1.921051784
772,-75.762299,1.01356802,0.577409847
574,-75.761047,0.797310533,0.681841687
411,-75.759369,1.895176802,1.456794807
172,-75.758641,1.983223886,1.797401731
750,-75.758501,1.758898291,0.936266628
122,-75.758181,1.730301346,0.863963396
982,-75.758126,1.772368804,0.969541735
74,-75.757377,1.702486028,0.809224737
71,-75.757058,1.977248887,1.733171417
971,-75.756919,1.644918953,0.74275727
108,-75.756648,1.767156359,0.926905387
103,-75.756054,2.059601187,2.251077309
124,-75.75578,1.913055773,1.451835524
825,-75.755563,1.265990138,0.586609775
18,-75.754529,2.007633804,1.81109566
90,-75.752989,2.059851164,2.064284094
732,-75.752619,2.080294159,2.271409207
347,-75.752592,1.579719322,0.678897001
757,-75.752385,1.306886367,0.588633991
35,-75.752203,1.927884398,1.433995904
748,-75.751421,1.208630843,0.570393299
216,-75.751317,2.088039214,2.274582106
899,-75.751284,2.070313603,2.072425732
204,-75.750317,2.084200427,2.144462502
917,-75.750091,1.781548659,0.864795713
180,-75.74984,1.791531771,0.882571293
733,-75.749747,1.92250563,1.360070549
632,-75.749657,1.889864841,1.226894093
186,-75.749475,1.704283568,0.752042871
553,-75.749348,2.094603905,2.196659172
536,-75.748244,1.593418201,0.670022062
666,-75.748192,2.061580037,1.91160515
876,-75.747442,1.789432451,0.849077438
423,-75.747282,2.068114462,1.919952454
953,-75.746039,1.515139113,0.63064295
465,-75.745965,1.875841189,1.072964196
914,-75.74596,2.083405848,1.964882166
721,-75.745821,1.970074456,1.45911184
675,-75.745465,1.998578519,1.563941207
998,-75.74518,2.126358467,2.322960682
52,-75.744665,2.113620658,2.120419365
644,-75.744297,1.693366349,0.714614295
83,-75.744013,1.860867243,0.973790991
619,-75.743774,1.764591111,0.779669026
715,-75.743045,1.919109848,1.18127076
